,Unnamed: 0,price,rooms,area,kitchen_area,floor,renovation,deal_type,balcony,trash_chute,Год постройки,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество балконов,Количество квартир,Холодное водоснабжение,Теплоснабжение,Водоотведение,Количество подъездов,Жилая,years_in_ownership,number_of_owners,energy_efficiency_class,power_supply,number_of_elevators,ventilation,freight_elevator,gas_supply,latitude,longitude,wall_material_Блочный,wall_material_Железобетон,wall_material_Кирпично-монолитный,wall_material_Кирпичный,wall_material_Монолитно-кирпичный,wall_material_Монолитный,wall_material_Панельный,wall_material_Смешанные
0,0,4500000,1.0,22.6,3.0,3.0,1,1,0,1.0,1975.0,1-464,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,,,,,,,,,,,43.1225647,131.9078475,False,False,False,False,False,False,True,False
1,1,10000000,3.0,75.4,5.0,6.0,1,1,0,1.0,2018.0,,10.0,,Железобетонный,,Центральное,1.0,,,,,,,,,,,,,,,43.1189565,131.9684815,False,False,False,False,False,True,False,False
2,2,6650000,1.0,31.6,5.0,2.0,0,0,0,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,43.1837352,131.92520064584687,False,False,False,True,False,False,False,False
3,3,11000000,2.0,47.0,3.1,6.0,0,0,1,1.0,,,7.0,,,,,1.0,,,,,,,,,,,,,,,43.0862091,131.8549304,False,False,False,False,False,True,False,False
4,4,4900000,1.0,24.1,3.0,16.0,0,0,0,,2020.0,,26.0,,Железобетонный,,Центральное,1.0,311.0,,,,,,,,,,,,,,43.11882655,131.97073175000003,False,False,False,False,False,True,False,False
5,5,5950000,2.0,41.5,6.0,5.0,1,1,1,0.0,1969.0,v-кирпичный,5.0,,Железобетонный,,,1.0,,Центральное,Центральное,Центральное,4.0,,,,,,,,,,43.23368255,132.0224931993368,False,False,False,True,False,False,False,False
6,6,4000000,1.0,20.7,6.0,3.0,1,1,0,1.0,1973.0,II-66,9.0,1.0,Железобетонный,Ленточный,,,177.0,,,,,,,,,,,,,,43.1627001,131.9300978509137,False,False,False,True,False,False,False,False
7,7,6000000,1.0,28.7,5.0,4.0,1,0,1,,1964.0,II-32,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,,,,,,,43.1552073,131.911553,False,False,False,False,False,False,True,False
8,8,8200000,2.0,41.9,7.0,2.0,1,1,0,1.0,1953.0,1-513,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,,,,,,,43.16168455,131.92121063842603,False,False,False,True,False,False,False,False
9,9,7400000,4.0,63.1,6.8,7.0,1,1,1,1.0,1970.0,81,9.0,1.0,Железобетонный,Ленточный,,1.0,144.0,,,,,,,,,,,,,,43.0992394,131.93553133772065,False,False,False,False,False,False,True,False
10,10,8400000,1.0,37.6,9.0,5.0,1,0,1,1.0,2021.0,,25.0,,Железобетонный,,Центральное,1.0,311.0,,,,,,,,,,,,,,43.11782115,131.97027802496342,False,False,False,False,False,True,False,False
11,11,9000000,2.0,60.5,,3.0,0,0,0,1.0,2020.0,,20.0,,Железобетонный,,Центральное,,,,,,,,,,,,,,,,43.2140692,131.94946215572705,False,False,False,False,False,True,False,False
12,12,7500000,3.0,58.7,9.0,3.0,1,0,0,1.0,1994.0,П-3,10.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,,,,,,,,,,,,,,,,False,False,False,False,False,False,True,False
13,13,3750000,1.0,23.1,4.0,4.0,1,1,0,1.0,1981.0,П-55,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,,,,,,,,,,,43.13282355,131.94753630881388,False,False,False,False,False,False,True,False
14,14,7500000,2.0,52.6,10.0,1.0,0,1,0,,2024.0,,4.0,,Железобетонный,,Центральное,,52.0,,,,,,,,,,,,,,43.2565783,132.0271392,False,False,False,True,False,False,False,False
15,15,6000000,1.0,31.4,5.0,12.0,0,0,1,0.0,2023.0,,26.0,,Железобетонный,,,1.0,450.0,,,,,,,,,,,,,,43.1552073,131.911553,False,False,False,False,False,True,False,False
16,16,4200000,1.0,18.8,10.0,17.0,0,1,1,,2018.0,121,9.0,,Железобетонный,,Центральное,1.0,,,,,,,,,,,,,,,43.11842005,131.96797264705754,False,False,False,False,False,False,True,False
17,17,11500000,3.0,64.5,,8.0,1,1,1,1.0,1977.0,121. многоквартирный дом,9.0,1.0,Железобетонный,Ленточный,,,,,,,,"39,4 м2",Больше пяти,2.0,D,,,,,,43.16265165,131.9269158032758,False,False,False,False,False,False,True,False
18,18,7500000,2.0,45.4,9.0,4.0,1,1,1,,1961.0,II-32,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,40.0,Центральное,,,,,,,,,,,,,43.1546767,131.90855013020823,False,False,False,False,False,False,True,False
19,19,20900000,4.0,118.3,,15.0,1,0,0,,1999.0,,15.0,,Железобетонный,,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,Центральное,,,,,,Центральное,,,,,43.1333528,131.9024106,False,False,False,True,False,False,False,False
20,20,5800000,,,,,1,0,0,1.0,1973.0,1-515-9,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,,,,,,,,,,,43.15940815,131.92075003235513,False,False,False,False,False,False,True,False
21,21,14000000,4.0,73.5,,2.0,1,0,1,1.0,1985.0,v-кирпичный,9.0,1.0,Железобетонный,Свайный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,,,,,,,,,,,,,,43.1280932,131.9003753074359,False,False,False,True,False,False,False,False
22,22,5100000,1.0,34.4,5.9,8.0,1,0,0,1.0,1990.0,,9.0,1.0,Железобетонный,Свайный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,,,,,,,,C,,,,,,43.09502425,131.9413094056416,False,False,False,False,False,False,True,False
23,23,7250000,3.0,53.4,8.0,9.0,1,0,1,1.0,1982.0,,12.0,1.0,Железобетонный,Иной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,,,,,,,,,,,,,43.12278355,131.9543201533229,False,False,False,False,False,False,True,False
24,24,9350000,3.0,64.1,7.7,2.0,0,0,1,1.0,1968.0,,9.0,1.0,Железобетонный,,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,,,,,,,43.11866675,131.8949865572513,False,False,False,False,False,False,True,False
25,25,5550000,1.0,33.2,10.0,2.0,1,1,0,1.0,2018.0,,6.0,,Монолитный,,Поквартирный котел,,,,,,,,,,,,,,,,43.2501791,132.01360600660942,False,True,False,False,False,False,False,False
26,26,9720000,2.0,54.0,9.0,5.0,1,0,0,,2008.0,,17.0,1.0,Железобетонный,,Центральное,1.0,,,,,,,,,,,,,,,43.11094295,131.94338803756477,False,False,False,False,False,True,False,False
27,27,5200000,1.0,28.9,5.0,2.0,1,1,1,1.0,1976.0,1-446 с,9.0,1.0,Железобетонный,Ленточный,,1.0,171.0,,,,,,,,,,,,,,43.1233426,131.9243123,False,False,False,True,False,False,False,False
28,28,4450000,,26.4,1.0,1.0,0,0,1,1.0,,,25.0,,,,,1.0,,,,,,,,,,,,,,,43.11458735,131.9715006309379,False,False,False,False,False,False,False,False
29,29,16900000,2.0,61.1,,5.0,1,1,1,1.0,1917.0,v-кирпичный,5.0,,Смешанный,Иной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,38.0,Центральное,,,,,,,,,,,,,43.117296,131.8891708,False,False,False,True,False,False,False,False
30,30,6770000,2.0,46.8,7.2,3.0,1,1,1,,1972.0,1-панельный,5.0,,Железобетонный,Ленточный,Закрытая с приготовлением горячей воды на ЦТП,1.0,63.0,Центральное,,,,,,,,,,,,,43.0930836,131.97906404052986,False,False,False,False,False,False,True,False
31,31,9200000,1.0,40.0,9.0,4.0,1,0,0,1.0,2021.0,,24.0,,Железобетонный,,Центральное,1.0,230.0,,,,,,,,,,,,,,43.0751226,131.9620425,False,False,False,False,False,True,False,False
32,32,13850000,4.0,87.3,,4.0,1,1,0,1.0,1991.0,,10.0,1.0,Железобетонный,Иной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,,,,,,,,,1.0,,,,43.1214301,131.9552268715009,False,False,False,False,False,False,True,False
33,33,29000000,,,,,0,1,1,,2010.0,"14/14, индивидуальный",21.0,1.0,Железобетонный,,Закрытая с приготовлением горячей воды на ЦТП,,,Центральное,,,,,,,,Центральное,,,,,43.11591745,131.91289706248307,False,False,False,True,False,False,False,False
34,34,12300000,3.0,59.0,10.0,2.0,1,1,0,1.0,2020.0,,4.0,,Железобетонный,,Центральное,1.0,48.0,,,,,,,,,,,,,,43.2317669,132.0288313,False,False,False,False,False,True,False,False
35,35,23200000,3.0,128.0,30.0,5.0,1,0,0,,2008.0,,8.0,,Железобетонный,,Центральное,1.0,,,,,,,,,,,,,,,43.11451355,131.8783384398115,False,False,False,False,False,True,False,False
36,36,14400000,3.0,70.6,9.0,12.0,1,0,1,1.0,2020.0,,24.0,,Железобетонный,,Поквартирный котел,1.0,,,,,,,,,,,,,,,43.0868468,131.9613083997826,False,False,False,True,False,False,False,False
37,37,4000000,1.0,16.9,5.0,2.0,1,0,0,1.0,1975.0,1-464,9.0,1.0,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,,,,,,,,,,,43.1225647,131.9078475,False,False,False,False,False,False,True,False
38,38,7550000,3.0,54.4,6.0,3.0,1,1,0,1.0,1961.0,v-кирпичный,5.0,,Железобетонный,Ленточный,Закрытая с приготовлением горячей воды на ЦТП,1.0,,Центральное,Центральное,,,,,,,,,,,,43.10392595,131.8951073760442,False,False,False,True,False,False,False,False
39,39,7500000,1.0,32.1,9.0,13.0,1,1,1,1.0,2009.0,v-кирпичный,14.0,1.0,Монолитный,,Центральное,1.0,,Центральное,Автономная котельная (крышная встроенно-пристроенная),,,,,,,,,,,,43.09256715,131.88529560082085,False,True,False,False,False,False,False,False
40,40,11900000,2.0,52.0,19.0,5.0,1,1,0,1.0,2000.0,2.многоквартирный,10.0,1.0,Железобетонный,Ленточный,,1.0,,,,,,,,,D,,,,,,43.1692164,131.90909843620412,False,False,False,False,False,False,True,False
41,41,3100000,,16.8,2.0,5.0,1,1,0,1.0,1984.0,ПП-83,9.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,Центральное,,,,,,,,,,,,,43.13249664999999,131.9397511092788,False,False,False,False,False,False,True,False
42,42,28000000,2.0,96.4,12.0,14.0,1,1,0,,2010.0,"14/14, индивидуальный",21.0,1.0,Железобетонный,,Закрытая с приготовлением горячей воды на ЦТП,1.0,,Центральное,,,,,,,,Центральное,,,,,43.11591745,131.91289706248307,False,False,False,True,False,False,False,False
43,43,12500000,3.0,53.0,10.0,22.0,0,1,0,1.0,2022.0,,25.0,,Железобетонный,,,1.0,,,,,,,,,,,,,,,43.17579885,131.94006015,False,False,False,False,False,True,False,False
44,44,8200000,2.0,44.1,6.0,3.0,1,0,0,0.0,,,5.0,,,,,1.0,,,,,,,,,,,,,,,43.136469250000005,131.90191069994407,False,False,False,False,False,False,True,False
45,45,4300000,,24.7,2.0,21.0,0,1,1,,2023.0,,24.0,,Железобетонный,,,1.0,436.0,,,,,,,,,,,,,,43.1135561,131.9570591,False,False,False,False,False,True,False,False
46,46,12800000,3.0,58.6,9.0,23.0,1,1,0,0.0,2019.0,,,,,,,,,,,,,,,,,,,,,,43.08745,131.856284,False,False,False,False,False,True,False,False
47,47,17000000,2.0,64.4,7.0,16.0,1,0,1,1.0,2007.0,"14/14, индивидуальный",17.0,1.0,Железобетонный,Свайный,Закрытая с приготовлением горячей воды на ЦТП,1.0,,Центральное,,,,,,,,,,,,,43.127353,131.887167,False,False,False,False,False,False,False,True
48,48,12300000,,,,,0,1,0,,2023.0,,25.0,,Железобетонный,,,,220.0,,,,,,,,,,,,,,43.16781445,131.96586772546414,False,False,False,False,False,True,False,False
49,49,8700000,2.0,42.0,12.0,5.0,1,0,1,1.0,2021.0,,10.0,1.0,Железобетонный,,Центральное,1.0,,,,,,,,,,,,,,,43.16793685,131.95477406254864,False,False,False,False,False,False,True,False
50,50,10781000,3.0,85.1,10.0,8.0,1,1,1,1.0,2011.0,,24.0,1.0,Иное,Иной,Закрытая с приготовлением горячей воды на ЦТП,1.0,,Центральное,,,,,,,,,,,,,43.16516795,131.94830943431475,False,False,False,True,False,False,False,False
51,51,18000000,3.0,71.8,10.0,10.0,1,1,0,0.0,2011.0,,21.0,1.0,Железобетонный,,Закрытая с приготовлением горячей воды на ЦТП,,,Центральное,Центральное,,,,,,,,,Приточно-вытяжная,,,43.1294745,131.9119216,False,False,False,False,False,True,False,False
52,52,11900000,2.0,46.8,1.0,2.0,1,0,0,1.0,1983.0,v-кирпичный,9.0,1.0,Железобетонный,Ленточный,,1.0,415.0,,,,,,,,,,,,,,43.1318221,131.9004527,False,False,False,True,False,False,False,False
53,53,5000000,,20.1,5.6,6.0,0,0,1,1.0,2017.0,II-01,24.0,1.0,Железобетонный,Ленточный,Закрытая с приготовлением горячей воды на ЦТП,1.0,,,,,,,,,,,,,,,43.12880895,131.9511256092946,False,False,False,False,False,True,False,False
54,54,6500000,1.0,28.5,5.0,1.0,0,1,1,,2023.0,,4.0,,,,,1.0,,,,,,,,,,,,,,,43.23055235,132.02866555,False,False,False,False,True,False,False,False
55,55,10500000,4.0,73.7,,5.0,1,1,0,1.0,1972.0,,6.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,,,,,,,C,,,,,,43.12674165,131.89898438535536,False,False,False,True,False,False,False,False
